"","baseline-03182015_S2","baseline-03272015_S8","baseline-05202015-Islet-15_S1","baseline-05222015-Islet-16_S6","baseline-09032015_S2","baseline-09102015_S7","baseline-10012015_S12","baseline-10292015_S17","Single-cell-bulk-03182015_S4","Single-cell-bulk-03272015_S10","Single-cell-bulk-05202015_S3","Single-cell-bulk-05222015_S8","Single-cell-bulk-c1-09032015_S5","Single-cell-bulk-c1-09102015_S10","Single-cell-bulk-c1-10012015_S15","Single-cell-bulk-c1-10292015_S20","undissociated-c1-ctrl-09032015_S3","undissociated-c1-ctrl-09102015_S8","undissociated-c1-ctrl-10012015_S13","undissociated-c1-ctrl-10292015_S18","Untreated-Ctrl-03182015_S3","Untreated-Ctrl-03272015_S9","Untreated-Ctrl-05202015_S2","Untreated-Ctrl-05222015_S7"
"ENSG00000229483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229558",0,0,1,1,0,0,2,1,0,2,1,3,0,5,1,1,1,0,1,2,0,0,0,0
"ENSG00000232977",30.17,24.52,2.16,20.48,4.14,3.26,9.61,16.66,19.63,51.63,15.07,25.99,10.62,19.12,17.78,15.51,12.07,11.86,13.56,5.29,36.86,30.2,14.4,24.14
"ENSG00000227893",92.73,69.56,25.7,40.61,8.9,13.44,39.8,37.41,77.57,128.97,69.29,57.26,16.87,37.94,22.14,41.21,39.92,18.05,39.35,12.93,82.78,86.81,62.96,24.19
"ENSG00000238230",0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000227640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260962",1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228741",0,2,1,2,3,1,3,8,1,0,0,4,5,8,3,9,4,1,3,13,2,0,0,4
"ENSG00000247400",54,51,27,155,22,68,54,133,163,152,31,297,62,164,93,147,65,134,89,102,94,64,40,192
"ENSG00000261498",0,0,0,2,0.96,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"ENSG00000243300",0,1,0,3,0,0,0,3,2,3,2,3,2,2,4,5,0,3,0,1,1,0,0,4
"ENSG00000233124",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000226134",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000234056",0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000225105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260509",1,1,0,5,0,0,0,0,7,5,2,7,1,16,0,0,0,0,0,0,3,5,4,5
"ENSG00000231983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228889",15,24,33,54,10,24,37,67,32,51,27,104,16,60,88,79,27,55,49,55,17,23,29,71
"ENSG00000234168",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"ENSG00000229609",0,0,0,2,0,1,5,4,2,4,0,0,0,1,0,1,2,1,4,1,2,1,0,0
"ENSG00000260704",7,11,3,12,3,9,19,23,8,10,6,16,4,15,22,11,4,11,19,10,7,6,4,13
"ENSG00000229599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224329",0,0,0,0,0,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0,1,3,0,0
"ENSG00000243319",1,9.08,1,4.09,1,1,5,13.48,19.4,22.95,1,14.65,1,11.41,13.31,6.29,5.11,8,6.33,5,13.78,8.55,1.42,4.16
"ENSG00000122043",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000266505",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224511",1,0,2,1.97,0,3,3,17,3,4.13,2,6.93,2,4.01,10,8.01,3,3,7,6,2.47,4,2,8.45
